repo,average_avg_lines_added_to_files,average_code_churn_avg,average_code_churn_max,average_code_churn_total,average_contributor_experience,average_contributors,average_dmm_method_cyclomatic_complexity,average_dmm_method_lines_of_code,average_dmm_method_number_of_parameters,average_files_modified_per_commit,average_history_complexity,average_hunks,average_lines_added_per_commit,average_lines_added_to_files,average_lines_deleted_from_files,average_lines_deleted_per_commit,average_minor_contributors,change_set_avg,change_set_max,developer_count,developers,files_modified,lines_added,lines_deleted,repo_url,total_commits
AChecker,7204.54347826087,7204.5,7205.347826086957,7205.434782608696,100.0,1.0,0.2931648273406906,0.3006407974368102,0.4773940904236383,5.888888888888889,0.4952173913043481,1.0,36829.0,7205.673913043478,0.2391304347826087,1.2222222222222223,0.0,6,44,2,"['Asem Ghaleb', 'AsemGhaleb']",53,331461,11,https://github.com/DependableSystemsLab/AChecker,9
AidUI,23.79069767441861,21.112175102599178,38.80984952120383,40.467852257181946,99.78789855072463,1.1014492753623188,0.8396854308387668,0.7126454989173033,0.8218785356394681,6.644787644787645,0.3958695652173912,0.7831737346101231,213.011583011583,75.47195622435021,35.00410396716826,98.7953667953668,0.0869565217391304,7,401,3,"['hasanmansur', 'S M Hasan Mansur', 'Kevin Moran']",1721,55170,25588,https://github.com/SageSELab/AidUI,259
CMI-Finder,752.7125,750.675,781.5125,788.475,99.8928125,1.03125,0.8392790711777101,0.756876497294493,0.7404663994939514,3.084507042253521,0.6721874999999998,1.41875,909.3521126760564,807.05,18.575,20.92957746478873,0.03125,3,26,2,"['Islem BOUZENIA', 'islem-esi']",219,64564,1486,https://github.com/sola-st/CMI-Finder,71
CTRAS,66.7,66.6,69.25,69.65,99.34736842105262,1.0526315789473684,0.6296296296296297,0.6296296296296297,0.8746913580246913,5.25,4.894736842105263,1.0,349.25,69.85,0.2,1.0,0.0,5,17,3,"['iris-42', 'iris', 'Chen Yuheng']",21,1397,4,https://github.com/iris-42/CTRAS,4
Chronos,1375.505617977528,1375.4719101123596,2594.325842696629,2597.9101123595506,99.1455072463768,1.6956521739130437,0.3015814536340852,0.2001077694235589,0.7953684210526315,6.1923076923076925,0.7663768115942028,0.5842696629213483,8893.961538461539,2598.23595505618,0.3258426966292135,1.1153846153846154,0.6521739130434783,6,78,5,"['thanhdeku', 'Thanh Le-Cong', 'Yunbo Lyu', 'Kang Hong Jin', 'rainbow9981']",161,231243,29,https://github.com/soarsmu/Chronos,26
DL_CC,149.41176470588235,133.2058823529412,206.58823529411765,217.0,100.0,1.0,0.8855769426531142,0.4085940779192536,0.4476464325661899,4.0,2.6324,0.7794117647058824,627.8571428571429,258.52941176470586,41.52941176470589,100.85714285714286,0.0,4,11,1,['ZhenlanJi'],56,8790,1412,https://github.com/ZhenlanJi/DL_CC,14
DS-Pipeline,340.5483870967742,340.241935483871,341.3225806451613,341.11290322580646,99.61052173913043,1.0260869565217392,0.7084772787669412,0.4299760829125698,0.627823545043848,18.857142857142858,0.793391304347826,0.935483870967742,6054.285714285715,341.7741935483871,0.6612903225806451,11.714285714285714,0.008695652173913,19,121,3,"['Sumon Biswas', 'sumonbis', 'Sajed']",132,42380,82,https://github.com/sumonbis/DS-Pipeline,7
DeepInspect,34575.31843575419,34573.737430167595,34592.38547486033,34592.27374301676,99.6952380952381,1.0272108843537415,0.5116353478970548,0.3195919258235261,0.7409177162557764,3.2266666666666666,0.2948979591836734,1.1340782122905029,82572.34666666666,34597.35195530726,5.078212290502793,12.12,0.0136054421768707,3,87,5,"['ariselab', 'Yuchi Tian', 'AIasd', 'Yuchi', 'ZiyuanZhong']",242,6192926,909,https://github.com/ARiSE-Lab/DeepInspect,75
DeepPAC,552.68,552.6571428571428,553.5885714285714,553.8628571428571,100.0,1.0,0.5361219305673158,0.4658425063505503,0.936917866215072,45.0,0.8754736842105266,0.5714285714285714,24233.75,553.9142857142857,0.0514285714285714,2.25,0.0,45,173,1,['CAS-LRJ'],180,96935,9,https://github.com/CAS-LRJ/DeepPAC,4
DeepPerf,5009.615384615385,5009.038461538462,5015.9807692307695,5023.192307692308,98.93617021276596,1.0212765957446808,0.8148148148148148,0.656084656084656,0.5978835978835979,2.5806451612903225,0.6274468085106382,0.9134615384615384,8430.612903225807,5025.942307692308,2.75,4.612903225806452,0.0,3,39,2,"['Huong Xuan Thien Ha', 'DeepPerf']",80,261349,143,https://github.com/DeepPerf/DeepPerf,31
